Frequency (MHz),CISPR11_RE_CLASS_B_Group_1,CISPR11_RE_CLASS_B_Group_1_Important,CISPR11_RE_CLASS_A_Group_1_up_to_20kVA]
49.32079673,40,40,50
49.38079921,40,40,50
49.44080168,40,40,50
49.50080416,40,40,50
49.56080663,40,40,50
49.62080911,40,40,50
49.68081158,40,40,50
49.74081405,40,40,50
49.80081653,40,40,50
49.860819,40,40,50
49.92082148,40,40,50
49.98082395,40,40,50
50.04082643,40,40,50
50.1008289,40,40,50
50.16083137,40,40,50
50.22083385,40,40,50
50.28083632,40,40,50
50.3408388,40,40,50
50.40084127,40,40,50
50.46084375,40,40,50
50.52084622,40,40,50
50.58084869,40,40,50
50.64085117,40,40,50
50.70085364,40,40,50
50.76085612,40,40,50
50.82085859,40,40,50
50.88086107,40,40,50
50.94086354,40,40,50
51.00086602,40,40,50
51.06086849,40,40,50
51.12087096,40,40,50
51.18087344,40,40,50
51.24087591,40,40,50
51.30087839,40,40,50
51.36088086,40,40,50
51.42088334,40,40,50
51.48088581,40,40,50
51.54088828,40,40,50
51.60089076,40,40,50
51.66089323,40,40,50
51.72089571,40,40,50
51.78089818,40,40,50
51.84090066,40,40,50
51.90090313,40,40,50
51.9609056,40,40,50
52.02090808,40,40,50
52.08091055,40,40,50
52.14091303,40,40,50
52.2009155,40,40,50
52.26091798,40,40,50
52.32092045,40,40,50
52.38092292,40,40,50
52.4409254,40,40,50
52.50092787,40,40,50
52.56093035,40,40,50
52.62093282,40,40,50
52.6809353,40,40,50
52.74093777,40,40,50
52.80094024,40,40,50
52.86094272,40,40,50
52.92094519,40,40,50
52.98094767,40,40,50
53.04095014,40,40,50
53.10095262,40,40,50
53.16095509,40,40,50
53.22095757,40,40,50
53.28096004,40,40,50
53.34096251,40,40,50
53.40096499,40,40,50
53.46096746,40,40,50
53.52096994,40,40,50
53.58097241,40,40,50
53.64097489,40,40,50
53.70097736,40,40,50
53.76097983,40,40,50
53.82098231,40,40,50
53.88098478,40,40,50
53.94098726,40,40,50
54.00098973,40,40,50
54.06099221,40,40,50
54.12099468,40,40,50
54.18099715,40,40,50
54.24099963,40,40,50
54.3010021,40,40,50
54.36100458,40,40,50
54.42100705,40,40,50
54.48100953,40,40,50
54.541012,40,40,50
54.60101447,40,40,50
54.66101695,40,40,50
54.72101942,40,40,50
54.7810219,40,40,50
54.84102437,40,40,50
54.90102685,40,40,50
54.96102932,40,40,50
55.0210318,40,40,50
55.08103427,40,,50
55.14103674,40,,50
55.20103922,40,,50
55.26104169,40,,50
55.32104417,40,,50
55.38104664,40,,50
55.44104912,40,,50
55.50105159,40,,50
55.56105406,40,,50
55.62105654,40,,50
55.68105901,40,,50
55.74106149,40,,50
55.80106396,40,,50
55.86106644,40,,50
55.92106891,40,,50
55.98107138,40,,50
56.04107386,40,,50
56.10107633,40,,50
56.16107881,40,,50
56.22108128,40,,50
56.28108376,40,,50
56.34108623,40,,50
56.4010887,40,,50
56.46109118,40,,50
56.52109365,40,,50
56.58109613,40,,50
56.6410986,40,,50
56.70110108,40,,50
56.76110355,40,,50
56.82110602,40,,50
56.8811085,40,,50
56.94111097,40,,50
57.00111345,40,,50
57.06111592,40,,50
57.1211184,40,,50
57.18112087,40,,50
57.24112335,40,,50
57.30112582,40,,50
57.36112829,40,,50
57.42113077,40,,50
57.48113324,40,,50
57.54113572,40,,50
57.60113819,40,,50
57.66114067,40,,50
57.72114314,40,,50
57.78114561,40,,50
57.84114809,40,,50
57.90115056,40,,50
57.96115304,40,,50
58.02115551,40,,50
58.08115799,40,,50
58.14116046,40,,50
58.20116293,40,,50
58.26116541,40,,50
58.32116788,40,,50
58.38117036,40,,50
58.44117283,40,,50
58.50117531,40,,50
58.56117778,40,,50
58.62118025,40,,50
58.68118273,40,,50
58.7411852,40,,50
58.80118768,40,,50
58.86119015,40,,50
58.92119263,40,,50
58.9811951,40,,50
59.04119758,40,,50
59.10120005,40,,50
59.16120252,40,,50
59.221205,40,,50
59.28120747,40,,50
59.34120995,40,,50
59.40121242,40,,50
59.4612149,40,,50
59.52121737,40,,50
59.58121984,40,,50
59.64122232,40,,50
59.70122479,40,,50
59.76122727,40,,50
59.82122974,40,,50
59.88123222,40,,50
59.94123469,40,,50
60.00123716,40,,50
60.06123964,40,,50
60.12124211,40,,50
60.18124459,40,,50
60.24124706,40,,50
60.30124954,40,,50
60.36125201,40,,50
60.42125448,40,,50
60.48125696,40,,50
60.54125943,40,,50
60.60126191,40,,50
60.66126438,40,,50
60.72126686,40,,50
60.78126933,40,,50
60.84127181,40,,50
60.90127428,40,,50
60.96127675,40,,50
61.02127923,40,,50
61.0812817,40,,50
61.14128418,40,,50
61.20128665,40,,50
61.26128913,40,,50
61.3212916,40,,50
61.38129407,40,,50
61.44129655,40,,50
61.50129902,40,,50
61.5613015,40,,50
61.62130397,40,,50
61.68130645,40,,50
61.74130892,40,,50
61.80131139,40,,50
61.86131387,40,,50
61.92131634,40,,50
61.98131882,40,,50
62.04132129,40,,50
62.10132377,40,,50
62.16132624,40,,50
62.22132871,40,,50
62.28133119,40,,50
62.34133366,40,,50
62.40133614,40,,50
62.46133861,40,,50
62.52134109,40,,50
62.58134356,40,,50
62.64134603,40,,50
62.70134851,40,,50
62.76135098,40,,50
62.82135346,40,,50
62.88135593,40,,50
62.94135841,40,,50
63.00136088,40,,50
63.06136336,40,,50
63.12136583,40,,50
63.1813683,40,,50
63.24137078,40,,50
63.30137325,40,,50
63.36137573,40,,50
63.4213782,40,,50
63.48138068,40,,50
63.54138315,40,,50
63.60138562,40,,50
63.6613881,40,,50
63.72139057,40,,50
63.78139305,40,,50
63.84139552,40,,50
63.901398,40,,50
63.96140047,40,,50
64.02140294,40,,50
64.08140542,40,,50
64.14140789,40,,50
64.20141037,40,,50
64.26141284,40,,50
64.32141532,40,,50
64.38141779,40,,50
64.44142026,40,,50
64.50142274,40,,50
64.56142521,40,,50
64.62142769,40,,50
64.68143016,40,,50
64.74143264,40,,50
64.80143511,40,,50
64.86143759,40,,50
64.92144006,40,,50
64.98144253,40,,50
65.04144501,40,,50
65.10144748,40,,50
65.16144996,40,,50
65.22145243,40,,50
65.28145491,40,,50
65.34145738,40,,50
65.40145985,40,,50
65.46146233,40,,50
65.5214648,40,,50
65.58146728,40,,50
65.64146975,40,,50
65.70147223,40,,50
65.7614747,40,,50
65.82147717,40,,50
65.88147965,40,,50
65.94148212,40,,50
66.0014846,40,,50
66.06148707,40,,50
66.12148955,40,,50
66.18149202,40,,50
66.24149449,40,,50
66.30149697,40,,50
66.36149944,40,,50
66.42150192,40,,50
66.48150439,40,,50
66.54150687,40,,50
66.60150934,40,,50
66.66151181,40,,50
66.72151429,40,,50
66.78151676,40,,50
66.84151924,40,,50
66.90152171,40,,50
66.96152419,40,,50
67.02152666,40,,50
67.08152914,40,,50
67.14153161,40,,50
67.20153408,40,,50
67.26153656,40,,50
67.32153903,40,,50
67.38154151,40,,50
67.44154398,40,,50
67.50154646,40,,50
67.56154893,40,,50
67.6215514,40,,50
67.68155388,40,,50
67.74155635,40,,50
67.80155883,40,,50
67.8615613,40,,50
67.92156378,40,,50
67.98156625,40,,50
68.04156872,40,,50
68.1015712,40,,50
68.16157367,40,,50
68.22157615,40,,50
68.28157862,40,,50
68.3415811,40,,50
68.40158357,40,,50
68.46158604,40,,50
68.52158852,40,,50
68.58159099,40,,50
68.64159347,40,,50
68.70159594,40,,50
68.76159842,40,,50
68.82160089,40,,50
68.88160337,40,,50
68.94160584,40,,50
69.00160831,40,,50
69.06161079,40,,50
69.12161326,40,,50
69.18161574,40,,50
69.24161821,40,,50
69.30162069,40,,50
69.36162316,40,,50
69.42162563,40,,50
69.48162811,40,,50
69.54163058,40,,50
69.60163306,40,,50
69.66163553,40,,50
69.72163801,40,,50
69.78164048,40,,50
69.84164295,40,,50
69.90164543,40,,50
69.9616479,40,,50
70.02165038,40,,50
70.08165285,40,,50
70.14165533,40,,50
70.2016578,40,,50
70.26166027,40,,50
70.32166275,40,,50
70.38166522,40,,50
70.4416677,40,,50
70.50167017,40,,50
70.56167265,40,,50
70.62167512,40,,50
70.68167759,40,,50
70.74168007,40,,50
70.80168254,40,,50
70.86168502,40,,50
70.92168749,40,,50
70.98168997,40,,50
71.04169244,40,,50
71.10169492,40,,50
71.16169739,40,,50
71.22169986,40,,50
71.28170234,40,,50
71.34170481,40,,50
71.40170729,40,,50
71.46170976,40,,50
71.52171224,40,,50
71.58171471,40,,50
71.64171718,40,,50
71.70171966,40,,50
71.76172213,40,,50
71.82172461,40,,50
71.88172708,40,,50
71.94172956,40,,50
72.00173203,40,,50
72.0617345,40,,50
72.12173698,40,,50
72.18173945,40,,50
72.24174193,40,,50
72.3017444,40,,50
72.36174688,40,,50
72.42174935,40,,50
72.48175182,40,,50
72.5417543,40,,50
72.60175677,40,,50
72.66175925,40,,50
72.72176172,40,,50
72.7817642,40,,50
72.84176667,40,,50
72.90176915,40,,50
72.96177162,40,,50
73.02177409,40,,50
73.08177657,40,,50
73.14177904,40,,50
73.20178152,40,,50
73.26178399,40,,50
73.32178647,40,,50
73.38178894,40,,50
73.44179141,40,,50
73.50179389,40,,50
73.56179636,40,,50
73.62179884,40,,50
73.68180131,40,,50
73.74180379,40,,50
73.80180626,40,,50
73.86180873,40,,50
73.92181121,40,,50
73.98181368,40,,50
74.04181616,40,,50
74.10181863,40,,50
74.16182111,40,,50
74.22182358,40,,50
74.28182605,40,,50
74.34182853,40,,50
74.401831,40,,50
74.46183348,40,,50
74.52183595,40,,50
74.58183843,40,,50
74.6418409,40,,50
74.70184337,40,,50
74.76184585,40,,50
74.82184832,40,,50
74.8818508,40,,50
74.94185327,40,,50
75.00185575,40,,50
75.06185822,40,,50
75.1218607,40,,50
75.18186317,40,,50
75.24186564,40,,50
75.30186812,40,,50
75.36187059,40,,50
75.42187307,40,,50
75.48187554,40,,50
75.54187802,40,,50
75.60188049,40,,50
75.66188296,40,,50
75.72188544,40,,50
75.78188791,40,,50
75.84189039,40,,50
75.90189286,40,,50
75.96189534,40,,50
76.02189781,40,,50
76.08190028,40,,50
76.14190276,40,,50
76.20190523,40,,50
76.26190771,40,,50
76.32191018,40,,50
76.38191266,40,,50
76.44191513,40,,50
76.5019176,40,,50
76.56192008,40,,50
76.62192255,40,,50
76.68192503,40,,50
76.7419275,40,,50
76.80192998,40,,50
76.86193245,40,,50
76.92193493,40,,50
76.9819374,40,,50
77.04193987,40,,50
77.10194235,40,,50
77.16194482,40,,50
77.2219473,40,,50
77.28194977,40,,50
77.34195225,40,,50
77.40195472,40,,50
77.46195719,40,,50
77.52195967,40,,50
77.58196214,40,,50
77.64196462,40,,50
77.70196709,40,,50
77.76196957,40,,50
77.82197204,40,,50
77.88197451,40,,50
77.94197699,40,,50
78.00197946,40,,50
78.06198194,40,,50
78.12198441,40,,50
78.18198689,40,,50
78.24198936,40,,50
78.30199183,40,,50
78.36199431,40,,50
78.42199678,40,,50
78.48199926,40,,50
78.54200173,40,,50
78.60200421,40,,50
78.66200668,40,,50
78.72200916,40,,50
78.78201163,40,,50
78.8420141,40,,50
78.90201658,40,,50
78.96201905,40,,50
79.02202153,40,,50
79.082024,40,,50
79.14202648,40,,50
79.20202895,40,,50
79.26203142,40,,50
79.3220339,40,,50
79.38203637,40,,50
79.44203885,40,,50
79.50204132,40,,50
79.5620438,40,,50
79.62204627,40,,50
79.68204874,40,,50
79.74205122,40,,50
79.80205369,40,,50
79.86205617,40,,50
79.92205864,40,,50
79.98206112,40,,50
80.04206359,40,,50
80.10206606,40,,50
80.16206854,40,,50
80.22207101,40,,50
80.28207349,40,,50
80.34207596,40,,50
80.40207844,40,,50
80.46208091,40,,50
80.52208338,40,,50
80.58208586,40,,50
80.64208833,40,,50
80.70209081,40,,50
80.76209328,40,,50
80.82209576,40,,50
80.88209823,40,,50
80.94210071,40,,50
81.00210318,40,,50
81.06210565,40,,50
81.12210813,40,,50
81.1821106,40,,50
81.24211308,40,,50
81.30211555,40,,50
81.36211803,40,,50
81.4221205,40,,50
81.48212297,40,,50
81.54212545,40,,50
81.60212792,40,,50
81.6621304,40,,50
81.72213287,40,,50
81.78213535,40,,50
81.84213782,40,,50
81.90214029,40,,50
81.96214277,40,,50
82.02214524,40,,50
82.08214772,40,,50
82.14215019,40,,50
82.20215267,40,,50
82.26215514,40,,50
82.32215761,40,,50
82.38216009,40,,50
82.44216256,40,,50
82.50216504,40,,50
82.56216751,40,,50
82.62216999,40,,50
82.68217246,40,,50
82.74217494,40,,50
82.80217741,40,,50
82.86217988,40,,50
82.92218236,40,,50
82.98218483,40,,50
83.04218731,40,,50
83.10218978,40,,50
83.16219226,40,,50
83.22219473,40,,50
83.2821972,40,,50
83.34219968,40,,50
83.40220215,40,,50
83.46220463,40,,50
83.5222071,40,,50
83.58220958,40,,50
83.64221205,40,,50
83.70221452,40,,50
83.762217,40,,50
83.82221947,40,,50
83.88222195,40,,50
83.94222442,40,,50
84.0022269,40,,50
84.06222937,40,,50
84.12223184,40,,50
84.18223432,40,,50
84.24223679,40,,50
84.30223927,40,,50
84.36224174,40,,50
84.42224422,40,,50
84.48224669,40,,50
84.54224916,40,,50
84.60225164,40,,50
84.66225411,40,,50
84.72225659,40,,50
84.78225906,40,,50
84.84226154,40,,50
84.90226401,40,,50
84.96226649,40,,50
85.02226896,40,,50
85.08227143,40,,50
85.14227391,40,,50
85.20227638,40,,50
85.26227886,40,,50
85.32228133,40,,50
85.38228381,40,,50
85.44228628,40,,50
85.50228875,40,,50
85.56229123,40,,50
85.6222937,40,,50
85.68229618,40,,50
85.74229865,40,,50
85.80230113,40,,50
85.8623036,40,,50
85.92230607,40,,50
85.98230855,40,,50
86.04231102,40,,50
86.1023135,40,,50
86.16231597,40,,50
86.22231845,40,,50
86.28232092,40,,50
86.34232339,40,,50
86.40232587,40,,50
86.46232834,40,,50
86.52233082,40,,50
86.58233329,40,,50
86.64233577,40,,50
86.70233824,40,,50
86.76234072,40,,50
86.82234319,40,,50
86.88234566,40,,50
86.94234814,40,,50
87.00235061,40,,50
87.06235309,40,,50
87.12235556,40,,50
87.18235804,40,,50
87.24236051,40,,50
87.30236298,40,,50
87.36236546,40,,50
87.42236793,40,,50
87.48237041,40,,50
87.54237288,40,,50
87.60237536,40,,50
87.66237783,40,,50
87.7223803,40,,50
87.78238278,40,,50
87.84238525,40,,50
87.90238773,40,,50
87.9623902,40,,50
88.02239268,40,40,50
88.08239515,40,40,50
88.14239762,40,40,50
88.2024001,40,40,50
88.26240257,40,40,50
88.32240505,40,40,50
88.38240752,40,40,50
88.44241,40,40,50
88.50241247,40,40,50
88.56241494,40,40,50
88.62241742,40,40,50
88.68241989,40,40,50
88.74242237,40,40,50
88.80242484,40,40,50
88.86242732,40,40,50
88.92242979,40,40,50
88.98243227,40,40,50
89.04243474,40,40,50
89.10243721,40,40,50
89.16243969,40,40,50
89.22244216,40,40,50
89.28244464,40,40,50
89.34244711,40,40,50
89.40244959,40,40,50
89.46245206,40,40,50
89.52245453,40,40,50
89.58245701,40,40,50
89.64245948,40,40,50
89.70246196,40,40,50
89.76246443,40,40,50
89.82246691,40,40,50
89.88246938,40,40,50
89.94247185,40,40,50
90.00247433,40,40,50
90.0624768,40,40,50
90.12247928,40,40,50
90.18248175,40,40,50
90.24248423,40,40,50
90.3024867,40,40,50
90.36248917,40,40,50
90.42249165,40,40,50
90.48249412,40,40,50
90.5424966,40,40,50
90.60249907,40,40,50
90.66250155,40,40,50
90.72250402,40,40,50
90.7825065,40,40,50
90.84250897,40,40,50
90.90251144,40,40,50
90.96251392,40,40,50
91.02251639,40,40,50
91.08251887,40,40,50
91.14252134,40,40,50
91.20252382,40,40,50
91.26252629,40,40,50
91.32252876,40,40,50
91.38253124,40,40,50
91.44253371,40,40,50
91.50253619,40,40,50
91.56253866,40,40,50
91.62254114,40,40,50
91.68254361,40,40,50
91.74254608,40,40,50
91.80254856,40,40,50
91.86255103,40,40,50
91.92255351,40,40,50
91.98255598,40,40,50
92.04255846,40,40,50
92.10256093,40,40,50
92.1625634,40,40,50
92.22256588,40,40,50
92.28256835,40,40,50
92.34257083,40,40,50
92.4025733,40,40,50
92.46257578,40,40,50
92.52257825,40,40,50
92.58258072,40,40,50
92.6425832,40,40,50
92.70258567,40,40,50
92.76258815,40,40,50
92.82259062,40,40,50
92.8825931,40,40,50
92.94259557,40,40,50
93.00259805,40,40,50
93.06260052,40,40,50
93.12260299,40,40,50
93.18260547,40,40,50
93.24260794,40,40,50
93.30261042,40,40,50
93.36261289,40,40,50
93.42261537,40,40,50
93.48261784,40,40,50
93.54262031,40,40,50
93.60262279,40,40,50
93.66262526,40,40,50
93.72262774,40,40,50
93.78263021,40,40,50
93.84263269,40,40,50
93.90263516,40,40,50
93.96263763,40,40,50
94.02264011,40,40,50
94.08264258,40,40,50
94.14264506,40,40,50
94.20264753,40,40,50
94.26265001,40,40,50
94.32265248,40,40,50
94.38265495,40,40,50
94.44265743,40,40,50
94.5026599,40,40,50
94.56266238,40,40,50
94.62266485,40,40,50
94.68266733,40,40,50
94.7426698,40,40,50
94.80267228,40,40,50
94.86267475,40,40,50
94.92267722,40,40,50
94.9826797,40,40,50
95.04268217,40,40,50
95.10268465,40,40,50
95.16268712,40,40,50
95.2226896,40,40,50
95.28269207,40,40,50
95.34269454,40,40,50
95.40269702,40,40,50
95.46269949,40,40,50
95.52270197,40,40,50
95.58270444,40,40,50
95.64270692,40,40,50
95.70270939,40,40,50
95.76271186,40,40,50
95.82271434,40,40,50
95.88271681,40,40,50
95.94271929,40,40,50
96.00272176,40,40,50
96.06272424,40,40,50
96.12272671,40,40,50
96.18272918,40,40,50
96.24273166,40,40,50
96.30273413,40,40,50
96.36273661,40,40,50
96.42273908,40,40,50
96.48274156,40,40,50
96.54274403,40,40,50
96.60274651,40,40,50
96.66274898,40,40,50
96.72275145,40,40,50
96.78275393,40,40,50
96.8427564,40,40,50
96.90275888,40,40,50
96.96276135,40,40,50
97.02276383,40,40,50
97.0827663,40,40,50
97.14276877,40,40,50
97.20277125,40,40,50
97.26277372,40,40,50
97.3227762,40,40,50
97.38277867,40,40,50
97.44278115,40,40,50
97.50278362,40,40,50
97.56278609,40,40,50
97.62278857,40,40,50
97.68279104,40,40,50
97.74279352,40,40,50
97.80279599,40,40,50
97.86279847,40,40,50
97.92280094,40,40,50
97.98280341,40,40,50
98.04280589,40,40,50
98.10280836,40,40,50
98.16281084,40,40,50
98.22281331,40,40,50
98.28281579,40,40,50
98.34281826,40,40,50
98.40282073,40,40,50
98.46282321,40,40,50
98.52282568,40,40,50
98.58282816,40,40,50
98.64283063,40,40,50
98.70283311,40,40,50
98.76283558,40,40,50
98.82283806,40,40,50
98.88284053,40,40,50
98.942843,40,40,50
99.00284548,40,40,50
99.06284795,40,40,50
99.12285043,40,40,50
99.1828529,40,40,50
99.24285538,40,40,50
99.30285785,40,40,50
99.36286032,40,40,50
99.4228628,40,40,50
99.48286527,40,40,50
99.54286775,40,40,50
99.60287022,40,40,50
99.6628727,40,40,50
99.72287517,40,40,50
99.78287764,40,40,50
99.84288012,40,40,50
99.90288259,40,40,50
99.96288507,40,40,50
100.0228875,40,40,50
100.08289,40,40,50
100.1428925,40,40,50
100.202895,40,40,50
100.2628974,40,40,50
100.3228999,40,40,50
100.3829024,40,40,50
100.4429049,40,40,50
100.5029073,40,40,50
100.5629098,40,40,50
100.6229123,40,40,50
100.6829148,40,40,50
100.7429172,40,40,50
100.8029197,40,40,50
100.8629222,40,40,50
100.9229247,40,40,50
100.9829271,40,40,50
101.0429296,40,40,50
101.1029321,40,40,50
101.1629346,40,40,50
101.222937,40,40,50
101.2829395,40,40,50
101.342942,40,40,50
101.4029445,40,40,50
101.4629469,40,40,50
101.5229494,40,40,50
101.5829519,40,40,50
101.6429543,40,40,50
101.7029568,40,40,50
101.7629593,40,40,50
101.8229618,40,40,50
101.8829642,40,40,50
101.9429667,40,40,50
102.0029692,40,40,50
102.0629717,40,40,50
102.1229741,40,40,50
102.1829766,40,40,50
102.2429791,40,40,50
102.3029816,40,40,50
102.362984,40,40,50
102.4229865,40,40,50
102.482989,40,40,50
102.5429915,40,40,50
102.6029939,40,40,50
102.6629964,40,40,50
102.7229989,40,40,50
