Frequency (MHz),CISPR11_CE_CLASS_B_Group_1_AVG,CISPR11_CE_CLASS_A_Group_1_AVG
0.932921314,64,79.8302458
0.937420862,64,79.8192687
0.94192041,64,79.80834416
0.946419958,64,79.79747168
0.950919506,64,79.78665078
0.955419053,64,79.77588096
0.959918601,64,79.76516173
0.964418149,64,79.75449264
0.968917697,64,79.74387321
0.973417244,64,79.73330297
0.977916792,64,79.72278149
0.98241634,64,79.71230831
0.986915888,64,79.70188298
0.991415436,64,79.69150508
0.995914983,64,79.68117417
1.000414531,64,79.67088983
1.004914079,64,79.66065165
1.009413627,64,79.6504592
1.013913175,64,79.64031209
1.018412722,64,79.63020991
1.02291227,64,79.62015226
1.027411818,64,79.61013876
1.031911366,64,79.60016901
1.036410913,64,79.59024265
1.040910461,64,79.58035928
1.045410009,64,79.57051855
1.049909557,64,79.56072008
1.054409105,64,79.55096351
1.058908652,64,79.54124849
1.0634082,64,79.53157467
1.067907748,64,79.52194169
1.072407296,64,79.51234921
1.076906844,64,79.50279689
1.081406391,64,79.49328441
1.085905939,64,79.48381142
1.090405487,64,79.47437761
1.094905035,64,79.46498264
1.099404582,64,79.4556262
1.10390413,64,79.44630798
1.108403678,64,79.43702766
1.112903226,64,79.42778494
1.117402774,64,79.41857951
1.121902321,64,79.40941108
1.126401869,64,79.40027934
1.130901417,64,79.39118401
1.135400965,64,79.38212479
1.139900513,64,79.37310141
1.14440006,64,79.36411357
1.148899608,64,79.35516101
1.153399156,64,79.34624343
1.157898704,64,79.33736058
1.162398251,64,79.32851218
1.166897799,64,79.31969796
1.171397347,64,79.31091767
1.175896895,64,79.30217104
1.180396443,64,79.29345781
1.18489599,64,79.28477774
1.189395538,64,79.27613056
1.193895086,64,79.26751603
1.198394634,64,79.25893391
1.202894181,64,79.25038396
1.207393729,64,79.24186592
1.211893277,64,79.23337957
1.216392825,64,79.22492467
1.220892373,64,79.21650099
1.22539192,64,79.20810829
1.229891468,64,79.19974636
1.234391016,64,79.19141496
1.238890564,64,79.18311388
